Description;Category
- PAY POP SACOLAO - 23 10 /;MERCADO
PIX MARCIO 26 TRANSF / 06;TRANSFERÊNCIA BANCÁRIA
GYMPASSBR GYMPASS;SAÚDE
PAMONHAS RSCSS - SE - / 24 02;RESTAURANTES
PAY - RODA DAGUA;LAZER E ENTRETENIMENTO
FOLHA MENSAL PAGAMENTO;SALÁRIO
PAY - GUL ARTE DA - 01 10 /;RESTAURANTES
IFDJURASSIC IFOOD;RESTAURANTES
CASA RSHOP - BARAN 17 - / 05;OUTROS
- LUIZ PAY ELVIS 29 - / 10;OUTROS
EM SAQUES DINHEIRO;SAQUES
- PATIO PAY BATEL  - / 14 05;OUTROS
. ALIMENTAÇÃO CURITIBA;RESTAURANTES
7076 SHOP B-CT CURT;COMPRAS DIVERSAS
IFOOD C IFDFRANGOS;RESTAURANTES
PAY -HIROTA FOOD-28/11;MERCADO
TRANSF PIX / RODRIGO14 11;OUTROS
TRANSFERÊNCIA KAMOI R;SAÚDE
RSCSS - MC DONALDS;RESTAURANTES
- PAY CHU RANCHOS;RESTAURANTES
* PAGAMENTO CDB 02 03 /;OUTROS
- PAY QUERE POSTO;TRANSPORTE
RSCSS - ACAI VILLA;RESTAURANTES
REMUNER SALARIO BAS POUP;POUPANÇA E INVESTIMENTOS
IFD*FOOD TR;RESTAURANTES
100 BEER;RESTAURANTES
COSMETIC LEO CT -;COMPRAS DIVERSAS
SACOLAO TRANSFERÊNCIA POP;MERCADO
GROSSI PAY - COME - 08 12 /;MERCADO
TRANSF PIX TATIANE02 01 /;TRANSFERÊNCIA BANCÁRIA
PAY -TELECELL -12/10;COMPRAS DIVERSAS
* DL YOUTUB GOOGLE;LAZER E ENTRETENIMENTO
* UBER UBER * TRIP;TRANSPORTE
- CIDADAO PAY DO - 27 06 /;RESTAURANTES
- RSCSS BATOVI;RESTAURANTES
TRANSF PIX TATIANE;TRANSFERÊNCIA BANCÁRIA
PIX QRS ROBERTA MUL;TRANSFERÊNCIA BANCÁRIA
MAFIA LA;RESTAURANTES
PAY -PANIFICADOR-31/10;MERCADO
ENTRETEN TURISMO E. CURITIBA;LAZER E ENTRETENIMENTO
PAY - FARMACIA UN;SAÚDE
PAG * CT ASMSERVI -;OUTROS
JUROS SALARIO POUPANCA;RECEITA
PAY -FORNERIA CO;RESTAURANTES
POUPANCA JUROS SALARIO;POUPANÇA E INVESTIMENTOS
PIX PAU TRANSF ANA;TRANSFERÊNCIA BANCÁRIA
ESTREL NOVA;RESTAURANTES
PAG ASMSERVI * CT -;OUTROS
- ANGUS PAY ASSAD - 23 12 /;RESTAURANTES
- PAY POSTO AUTO;TRANSPORTE
PAY -PUHL ESTACI-14/12;TRANSPORTE
EMP CAPITAL IO - CT;OUTROS
PIX QRS BANCO SANTA17/11;PAGAMENTO CARTÃO
JUROS POUPANCA SALARIO;POUPANÇA E INVESTIMENTOS
DRIVE BK POR - FRANCI CT;RESTAURANTES
KF HONESTY;MERCADO
CLARO DA 08806989 MOVEL;TELECOMUNICAÇÕES
TRANS BENATO;TRANSPORTE
PAG * - CAMILACA O CT;COMPRAS DIVERSAS
- POP PAY SACOLAO - 23 / 12;MERCADO
TIT INT PAG 157000402094;MORADIA
VESTUARIO CURITIBA.;ROUPAS E ACESSÓRIOS
- PAY TEMPO FE DA - / 04 12;OUTROS
DE PAGAMENTO TÍTULO;MORADIA
- PAY AUTO POSTO 04 - 11 /;TRANSPORTE
RESTAURANTES;RESTAURANTES
PAY -ITALO SUPER-14/12;MERCADO
* PAG - ATENAFEN CT;OUTROS
PAY PAISAG JARD -;OUTROS
PAY -TRIPARK EST;TRANSPORTE
COLET TRANSPO CT - - FUC;TRANSPORTE
LJ 0041 SHOP - CT BA IO;COMPRAS DIVERSAS
PAY IFDTROPICA -;OUTROS
PAY -SANTO ANTON;LAZER E ENTRETENIMENTO
- POP PAY SACOLAO - 01 / 12;MERCADO
PAY - FESTVAL 20 BAT - 06 /;MERCADO
- PAY AERO - 25 CURITI / 06;ROUPAS E ACESSÓRIOS
FINANC PAGTO VEIC 24 24 /;TRANSPORTE
- RSCSS KF HONESTY;MERCADO
TRANSF PIX WESTERN;TRANSFERÊNCIA BANCÁRIA
INT VS UNICLASS;PAGAMENTO CARTÃO
PIX TRANSF ISABELL01 / 10;MESADA
PAY - * PAG ANDRELI - 10 18 /;OUTROS
DO BURACO P;LAZER E ENTRETENIMENTO
SAQUES DINHEIRO EM;SAQUES
* UBER UBER TRIP *;TRANSPORTE
* ESCOLASEBDOM BOSCO;EDUCAÇÃO
- PAY MADA IRMAOS - 14 12 /;RESTAURANTES
PAY KF - HONESTY;MERCADO
- PAY COMERCI EM2;COMPRAS DIVERSAS
- RSCSS VILLA ACAI;RESTAURANTES
- PAY TRIPARK - EST / 29 05;TRANSPORTE
PIX TATIANE TRANSF;TRANSFERÊNCIA BANCÁRIA
RSHOP - POP SACOLAO 23 - 02 /;MERCADO
- PAY PLK FILIAL - 16 11 /;OUTROS
PAY PAG - JORGELU *;OUTROS
PIX QRS SERVICO26 BUS 11 /;TRANSPORTE
PAY LANCHONETE -;RESTAURANTES
BAT PAY ESTACIO - - 06 / 12;TRANSPORTE
COSMETI DIVA NODARI -;COMPRAS DIVERSAS
LOJA LIGHTLA-CT;COMPRAS DIVERSAS
ESTACIONAME;TRANSPORTE
STEAKHOUSE OUTBACK;RESTAURANTES
PAY - - BRAVIUM / 11 28;OUTROS
PIX BUS QRS / SERVICO26 11;TRANSPORTE
SAQUES DINHEIRO EM;SAQUES
- PAY - PANIFICADOR 16 06 /;MERCADO
PAY LUIZ - ELVIS 29 - 10 /;OUTROS
- RSHOP CASA - BARAN 17 05 /;OUTROS
PAY -TERRA E MAR-04/11;RESTAURANTES
BRASI MAHLE;MERCADO
ESCOLASEBDOM BOSCO *;EDUCAÇÃO
PANIFICADOR PAY - - 01 12 /;MERCADO
- PAY PANIFICADOR;MERCADO
PAROLI HAVAN CT - RITIBA;ROUPAS E ACESSÓRIOS
* PG NARR UNIVERSO / 09 12;EDUCAÇÃO
RSHOP-SACOLAO POP-23/02;MERCADO
PIX ISABELL TRANSF;MESADA
- PAY PAGJORGELU;OUTROS
RSCSS PAG - RESTAUR *;RESTAURANTES
PAG*GAROTAFA-CT N 03/03;ROUPAS E ACESSÓRIOS
RSCSS DONALDS - MC;RESTAURANTES
- PAY ELVIS LUIZ - 29 10 /;OUTROS
CAFÉ PIB;RESTAURANTES
REMUNER SALARIO BAS POUP;POUPANÇA E INVESTIMENTOS
VIRG TINTAS;COMPRAS DIVERSAS
PAGPAULORO;OUTROS
PAY - PANVEL - FARM / 10 10;SAÚDE
ULTRAGAZ DA 21900 DEMAI;OUTROS
PAY MERCADOTECA - - / 05 05;RESTAURANTES
FLEX CLARO;TELECOMUNICAÇÕES
ROSA SHOK - CT;COMPRAS DIVERSAS
* UBER UBER * TRIP;TRANSPORTE
INT COPEL DISTRIBUICA 00;MORADIA
- RSHOP CIA DE BEAL;COMPRAS DIVERSAS
BAGAGGIO;COMPRAS DIVERSAS
QRS PIX S OI. A. E22 - 12 /;TELECOMUNICAÇÕES
* CLUBE IFOOD * IFOOD;RESTAURANTES
PAY PINBANK - * - SAN 30 09 /;OUTROS
- RSCSS 290 POSTO - / 01 01;TRANSPORTE
- PLANSHOPPIN PAY 02 - / 12;OUTROS
- PAY - PANIFICADOR 04 03 /;MERCADO
CLARO FLEX;TELECOMUNICAÇÕES
PAY -PANIFICADOR-07/06;MERCADO
IFDMCDONALDS IFOOD;RESTAURANTES
* MP MELIMAIS;LAZER E ENTRETENIMENTO
PAY -DONA DEOLA -30/11;RESTAURANTES
UBER *UBER *TRIP;TRANSPORTE
PG *PRIMA CA-CT AS PRI;COMPRAS DIVERSAS
MOBILEPAG 237 TIT BANCO;OUTROS
PAY -CLOUDPARK A-29/05;TRANSPORTE
MR CHEE -CT;RESTAURANTES
* PG PRIMA CA CT - PRI AS;COMPRAS DIVERSAS
PANQUECAS BONNA;RESTAURANTES
- PAY PLK FILIAL;COMPRAS DIVERSAS
PAY SACOLAO - - DO 20 06 /;MERCADO
POP ARTI MIX - DO01 CT 03 /;COMPRAS DIVERSAS
PAY -SACOLAO POP-06/10;MERCADO
GYMPASSBR GYMPASS;SAÚDE
PANIFICADOR;RESTAURANTES
PAY -HONESTY KF -26/10;MERCADO
DA TEMPO FE CT - AURANT;RESTAURANTES
MR CT CHEE -;RESTAURANTES
PAY - BAT GARAGEM 13 - 03 /;TRANSPORTE
RECANTO;RESTAURANTES
IFOOD IFDDRIVE IN;RESTAURANTES
QRS PIX BANCO SANTA17 11 /;PAGAMENTO CARTÃO
POUPANCA JUROS SALARIO;POUPANÇA E INVESTIMENTOS
PRATA E BELE-CT OMERCI;COMPRAS DIVERSAS
TRANSF PIX TATIANE10 05 /;TRANSFERÊNCIA BANCÁRIA
INT PAG TIT BANCO 237;MORADIA
PAGTO FINANC VEIC 16/24;TRANSPORTE
- PAY SACOLAO - POP / 01 12;MERCADO
SUPERMERCADOS ITALO LT;MERCADO
PIX SEM QRS I PARAR;TRANSPORTE
CENTAURO;ROUPAS E ACESSÓRIOS
JORGELU;OUTROS
INT TIT BANCO PAG 237;MORADIA
FINANC PAGTO 15 VEIC / 24;TRANSPORTE
DA ULTRAGAZ DEMAI 21900;OUTROS
- PAY CO FORNERIA;RESTAURANTES
RSCSS PAG - RESTAUR *;RESTAURANTES
PG *TON ASSA-CT;OUTROS
PAY - SHOP B PARK 15 - / 10;TRANSPORTE
- PAY BRASIL UCI;LAZER E ENTRETENIMENTO
- PAY ANTON SANTO;LAZER E ENTRETENIMENTO
- PAY ELVIS LUIZ 27 - / 09;OUTROS
PIX QRS PERSONAL PA28/10;OUTROS
RSHOP - RAIA 2148;COMPRAS DIVERSAS
POUPANCA JUROS SALARIO;POUPANÇA E INVESTIMENTOS
- PAY PAG ANAFLAV * 06 - / 12;OUTROS
JUROS SALARIO POUPANCA;POUPANÇA E INVESTIMENTOS
* PAG GAROTAFA - CT 03 N 03 /;COMPRAS DIVERSAS
KF HONESTY;MERCADO
IFDCHINA IFOOD IN;RESTAURANTES
- PAY BATEL BDA 24 - / 06;OUTROS
TRANSF PIX / PRIMEIR26 10;OUTROS
* PG UNIVERSO 07 NARR 12 /;EDUCAÇÃO
UBER TRIP *;TRANSPORTE
CLUBE IFOOD * * IFOOD;RESTAURANTES
PAY -CAFE DU BOM-24/05;RESTAURANTES
PIX TRANSF ISABELL;MESADA
- HAMB PAY GARAGE - 10 / 11;RESTAURANTES
PIX TRANSF ZOE 10 SAL06 /;OUTROS
UBER UBER * * TRIP;TRANSPORTE
* PG TON PRIM - CT NITIN;OUTROS
POUPANCA JUROS SALARIO;POUPANÇA E INVESTIMENTOS
PG * UNIVERSO 09 12 NARR /;EDUCAÇÃO
RSCSS-HONESTY KF -06/12;MERCADO
- RSHOP MA MALLORCA;COMPRAS DIVERSAS
PAY RESTAURANTES -;RESTAURANTES
TRANSF PIX PRIMEIR26 10 /;OUTROS
INT PAG TIT BANCO 237;MORADIA
- RSHOP PAGADCOSCU;COMPRAS DIVERSAS
PAY -RAIA 600 PO-29/11;SAÚDE
PAY - PAG * - ANDRERI 12 04 /;OUTROS
PAY PANIFICADOR -;MERCADO
VELHO PAY - MADAL - 11 03 /;RESTAURANTES
SHOP PET;CUIDADOS COM O PET
TIT MOBILEPAG 237 BANCO;MORADIA
PAY - - GROSSI 08 COME / 12;MERCADO
- PAY MP * - 27 RAFAVEN / 11;OUTROS
PAY - HUT PIZZA P 18 - 11 /;RESTAURANTES
